Country_code_A3,Unit,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
CAF,kt_methane,1.647723553,1.984583558,2.106474009,2.233543919,2.367529707,2.510093713,2.613133521,2.71560427,2.825009571,2.942617409,3.06933046,3.201086557,3.341822217,3.488975243,3.637356287,3.782954289,3.913769628,4.038449386,4.162494757,4.292587812,4.434074746,4.496947346,4.414957975,4.465372141,4.642288821,4.891971013,4.880630671,5.060846935,5.264218041,5.441646409,5.451804634,5.630175995,5.815252579,5.731143251,5.944744151,6.06011518,6.290098388,6.540821846,6.713143101,7.080080282,7.349261695,7.602240898,7.879866403,6.394942744,6.240922973,6.476061511,6.766665672,7.057678477,7.358253131,7.594607724,7.838554267,8.11123186
CAN,kt_methane,434.636995,441.5400021,448.4429971,455.3450044,462.2479985,469.151006,474.7480057,480.345998,485.9399988,491.5369933,497.1339936,502.569246,508.0127638,513.3945779,518.7827966,524.1888248,531.5457723,538.8447505,546.1828227,553.5139224,560.8638808,557.9699444,549.9631453,540.3294942,541.2283634,551.6578436,541.3528557,523.6544808,536.5389742,545.7615526,559.8367156,539.5527707,566.0179359,551.2215884,573.3677064,560.3953717,600.2067673,589.9960159,545.4246348,506.7673271,495.0891746,491.4004418,476.9901657,475.5145023,524.2611049,527.5522285,532.5441037,537.4499947,542.2868859,546.0271079,549.7931267,554.2412534
CHE,kt_methane,31.3659999,35.64500007,35.86369973,36.08460035,36.30829993,36.53360025,36.47109978,36.40459963,36.33319996,36.25519994,36.17239965,36.7567999,37.40339965,38.0570997,38.71919961,39.38869999,40.13710011,40.88980031,41.64700019,42.4078003,33.25734737,32.2388935,29.31751132,25.07533208,21.39109011,21.25120093,19.85154862,19.73226176,18.72076068,17.35808892,15.86338145,15.20525726,14.29475893,12.38741435,13.38702568,13.02355919,13.21865679,11.99310674,11.13086322,,,,,,,,,,,,,
CHL,kt_methane,57.97249928,67.28419937,69.39209977,71.51039936,73.64319961,75.79480066,77.88429953,79.98280073,82.11030047,84.28080073,86.50690009,88.35270051,90.1884005,92.0771003,94.03220056,96.05880016,97.92450054,99.82379908,101.7730006,103.7479992,105.7300009,109.31,113.8980005,117.6649995,120.9999989,125.2489992,129.2860013,133.4830011,136.9789988,139.147001,142.6930014,145.6549986,148.4719987,151.5709989,155.6029998,159.3959994,163.1740005,118.2826754,100.0526159,100.8567594,78.46404416,80.16193236,81.76069835,83.17432717,84.24074162,85.34484032,86.28942267,87.14997463,88.41179131,89.41586218,90.43133603,91.45198602
CHN,kt_methane,289.9792605,332.9238877,340.9224587,348.6378528,355.972181,362.8641682,378.2469075,394.627079,411.0566349,427.7345519,444.848484,470.4548493,497.9039536,526.4989608,556.5975283,588.4875358,622.7564858,659.1173002,697.1041686,735.9273333,774.876943,843.9442955,934.9066285,1032.014945,1131.972242,1229.87242,1331.953228,1436.202873,1539.139681,1645.153818,1759.494852,1900.278933,2054.924072,2223.034124,2401.156359,2590.2917,2784.15559,3020.946664,3150.773039,3369.123433,3606.238367,3839.965291,4068.865331,4304.435289,4544.5526,4788.787673,4986.615417,5181.61083,5377.9946,5572.570566,5774.186294,5969.745083
CIV,kt_methane,4.292192282,5.262973621,5.712936608,6.203485771,6.733171891,7.300682462,7.936659712,8.62093611,9.35154494,10.13060644,10.95991832,11.57705384,12.18230659,12.80703037,13.44781056,14.10211678,14.80029899,15.51707224,16.25286791,17.01494321,17.80912036,18.49830281,19.16994361,19.85315627,20.60394427,21.76050908,23.07757391,24.19196131,25.37657329,26.34513769,26.97817618,27.77098534,28.42396082,29.06738876,29.9538382,30.95585939,32.01760272,22.77438045,21.56497208,21.01067037,21.81811902,22.20873723,23.58823917,25.07450267,26.61900177,28.24597436,29.74600925,31.26031748,32.8129859,34.29257094,35.8388726,37.35013592
CMR,kt_methane,3.998282094,5.081392508,5.642834452,6.24425083,6.888570599,7.57890177,8.16288729,8.759719973,9.393930115,10.06821878,10.78523754,11.5211065,12.29727372,13.11940338,13.98947189,14.90909973,15.79073851,16.70324582,17.6577037,18.6512443,19.68092059,20.28002436,20.84819725,21.08120235,21.93205154,23.0061637,24.20344986,25.52392188,26.85659122,28.2261069,29.5972947,31.10380157,32.68643125,34.37906736,36.38713742,38.03177434,39.83512454,41.91761783,43.95635135,45.89131223,48.04039256,50.39427798,52.92385401,55.70299617,58.70311533,61.81349941,64.61125709,67.24702482,69.99660651,72.73225541,75.57482057,78.30886219
COD,kt_methane,22.75469339,26.89829432,27.97286253,29.08185257,30.23994735,31.45873862,32.75888281,34.12988999,35.55536351,37.01039428,38.47699532,40.01296278,41.57943971,43.18845879,44.86934813,46.65006061,48.79258445,51.09238093,53.5609926,56.26506717,59.2543169,59.55288865,58.73351515,56.58942374,56.85007191,58.72277651,60.19944258,59.92346965,60.67662092,60.59468084,59.21821799,59.49978387,62.07200144,66.16087844,71.16056464,76.29025135,81.39882937,87.25516342,93.53928772,98.32693094,105.5886987,113.6511726,122.3783206,132.6376678,144.4268629,155.2506197,162.3056582,170.1732487,180.311475,189.5259515,199.2113164,207.9621471
COG,kt_methane,1.350164558,1.623207677,1.721723869,1.825777757,1.934925443,2.048800016,2.172847932,2.302997443,2.439078965,2.581907727,2.732222541,2.887204267,3.049575679,3.21960111,3.396815495,3.580809398,3.730895336,3.879580839,4.032760832,4.191144934,4.355414344,4.521596777,4.69583083,4.83407708,4.911560172,5.104628633,5.332700516,5.504645046,5.735451689,5.887477932,6.185149841,6.45771905,6.744540822,6.981015457,7.270859312,7.66746312,8.076956684,8.34951223,8.764265018,9.254654373,9.790265469,10.21267147,10.62877076,11.04263691,11.5562067,11.99227172,12.23279817,12.44026446,12.78077143,13.11135252,13.45048425,13.74000665
COK,kt_methane,0.110128418,0.10975177,0.109191041,0.108626498,0.108058647,0.107487073,0.104751779,0.101908789,0.099060709,0.096207494,0.093349287,0.093900348,0.0944201,0.095068278,0.095652242,0.096236207,0.098039818,0.099626191,0.10144052,0.103030466,0.098507758,0.092368035,0.095679352,0.099521919,0.103420836,0.107376103,0.109459945,0.111562189,0.113682834,0.115821881,0.11797933,0.122887135,0.128115304,0.13340166,0.138445236,0.144148935,0.144222821,0.144285682,0.144337518,0.144378329,0.144408115,0.143128267,0.141848419,0.129416993,0.127657097,0.126484125,0.126484125,0.126484125,0.126484125,0.126014937,0.125547488,0.125360161
